Cluster,HLA,Correlation
3of3,HLA_B1501,0.51
1of2,HLA_C0801,0.51
2of6,HLA_A2407,0.51
2of3,HLA_B1503,0.51
3of5,HLA_B1518,0.51
1of2,HLA_B3905,0.51
5of5,HLA_C0303,0.51
2of4,HLA_B4405,0.51
1of1,HLA_B4601,0.51
2of4,HLA_C1701,0.51
5of5,HLA_B8101,0.51
5of5,HLA_A0205,0.51
2of2,HLA_B1801,0.51
5of5,HLA_A0211,0.51
2of4,HLA_A6901,0.51
3of4,HLA_C0304,0.51
6of6,HLA_A2402,0.51
1of1,HLA_B3901,0.51
1of1,HLA_A6801,0.51
4of4,HLA_B3906,0.51
6of6,HLA_A0207,0.51
1of1,HLA_B1503,0.51
6of6,HLA_C0202,0.51
1of5,HLA_A0207,0.51
5of5,HLA_B4402,0.51
2of4,HLA_A0301,0.51
6of6,HLA_A6901,0.51
5of5,HLA_A3201,0.51
1of4,HLA_B1302,0.51
1of4,HLA_C0602,0.51
2of6,HLA_A1102,0.51
1of3,HLA_A6801,0.51
2of2,HLA_B1805,0.51
2of2,HLA_B3507,0.51
1of3,HLA_A6901,0.51
2of2,HLA_B4201,0.51
3of6,HLA_C0302,0.51
2of2,HLA_A6802,0.51
3of6,HLA_B4002,0.51
2of2,HLA_C1202,0.51
2of2,HLA_B3503,0.51
2of2,HLA_B0702,0.51
2of4,HLA_C1203,0.5
4of4,HLA_B1517,0.5
4of4,HLA_B1513,0.5
1of5,HLA_A6802,0.5
5of5,HLA_A1102,0.5
2of6,HLA_B5201,0.5
4of4,HLA_B5201,0.5
3of3,HLA_A2902,0.5
1of5,HLA_C1202,0.5
4of4,HLA_C1202,0.5
2of3,HLA_A0301,0.5
1of5,HLA_B1510,0.5
2of4,HLA_C0802,0.5
2of2,HLA_B4701,0.5
3of6,HLA_B1502,0.5
3of6,HLA_C0304,0.5
2of3,HLA_B1517,0.5
1of4,HLA_B2709,0.5
4of4,HLA_B0702,0.5
1of2,HLA_A6802,0.5
1of2,HLA_B1511,0.5
2of2,HLA_A0201,0.5
1of4,HLA_B4901,0.5
2of2,HLA_B1402,0.5
1of4,HLA_B2704,0.5
1of2,HLA_B8101,0.5
1of5,HLA_B4601,0.5
2of2,HLA_B0801,0.5
1of5,HLA_A0203,0.5
1of2,HLA_C1402,0.5
1of4,HLA_B4006,0.5
1of2,HLA_C0602,0.5
4of4,HLA_B1510,0.5
1of5,HLA_B4201,0.5
1of2,HLA_B2709,0.5
1of2,HLA_B3508,0.5
2of3,HLA_B8101,0.5
3of3,HLA_B3508,0.5
3of4,HLA_C1202,0.5
1of1,HLA_B5201,0.5
1of6,HLA_B1518,0.5
2of2,HLA_B4901,0.5
2of3,HLA_B5001,0.5
3of5,HLA_B3905,0.5
2of2,HLA_B2704,0.5
2of6,HLA_C1202,0.5
1of6,HLA_B3905,0.5
1of3,HLA_B3905,0.5
4of6,HLA_A0206,0.5
3of6,HLA_B4201,0.5
2of4,HLA_B3905,0.5
1of1,HLA_A3001,0.5
2of4,HLA_B4402,0.5
3of6,HLA_B3905,0.5
3of6,HLA_B2704,0.5
2of6,HLA_A6901,0.5
2of2,HLA_B2709,0.5
5of5,HLA_C1602,0.5
2of2,HLA_B1502,0.5
2of3,HLA_C0302,0.5
2of4,HLA_B3801,0.5
2of2,HLA_A6901,0.49
2of2,HLA_B1510,0.49
1of1,HLA_B6701,0.49
3of5,HLA_B3801,0.49
6of6,HLA_B3924,0.49
1of1,HLA_B1302,0.49
1of6,HLA_B3801,0.49
3of6,HLA_A0204,0.49
3of5,HLA_B4601,0.49
5of5,HLA_C0501,0.49
1of1,HLA_C1203,0.49
2of2,HLA_B1302,0.49
6of6,HLA_C1203,0.49
4of4,HLA_B4601,0.49
1of1,HLA_B5502,0.49
1of1,HLA_C1601,0.49
1of1,HLA_A0301,0.49
1of5,HLA_B1513,0.49
1of2,HLA_C0102,0.49
2of6,HLA_B5101,0.49
2of2,HLA_B4006,0.49
3of6,HLA_C1502,0.49
5of5,HLA_B5801,0.49
2of4,HLA_C1204,0.49
2of4,HLA_B1302,0.49
5of5,HLA_B5201,0.49
2of4,HLA_C1601,0.49
3of4,HLA_C0302,0.49
2of4,HLA_C1202,0.49
2of4,HLA_B5301,0.49
6of6,HLA_B4601,0.49
1of5,HLA_B3924,0.49
2of6,HLA_C0801,0.49
6of6,HLA_A0203,0.49
3of6,HLA_B1302,0.49
2of2,HLA_B5001,0.49
1of2,HLA_B4601,0.49
1of5,HLA_C1502,0.49
2of3,HLA_A0211,0.49
2of3,HLA_C0202,0.49
2of3,HLA_C0304,0.49
1of1,HLA_B4201,0.49
1of2,HLA_B3503,0.49
2of3,HLA_C1601,0.49
1of6,HLA_B5801,0.49
2of3,HLA_C1505,0.49
4of4,HLA_C0602,0.49
4of4,HLA_C1402,0.49
4of4,HLA_A0204,0.49
3of3,HLA_C1202,0.49
1of3,HLA_A6601,0.49
2of6,HLA_A2301,0.49
2of2,HLA_B3901,0.49
1of6,HLA_B4601,0.49
3of3,HLA_C0302,0.49
2of3,HLA_B4402,0.49
1of3,HLA_A0203,0.49
4of4,HLA_C1203,0.49
2of6,HLA_B4006,0.49
4of4,HLA_A0207,0.49
4of4,HLA_A6802,0.49
2of3,HLA_A2902,0.49
3of6,HLA_B1402,0.49
1of3,HLA_C1402,0.49
3of5,HLA_B4002,0.48
4of4,HLA_C1601,0.48
2of2,HLA_C1203,0.48
3of4,HLA_B4601,0.48
1of5,HLA_C1203,0.48
6of6,HLA_A2601,0.48
6of6,HLA_C0304,0.48
1of5,HLA_B1402,0.48
2of2,HLA_C1402,0.48
4of4,HLA_B4901,0.48
1of1,HLA_B2705,0.48
4of4,HLA_B1503,0.48
1of1,HLA_C0401,0.48
1of1,HLA_B3906,0.48
1of6,HLA_C1502,0.48
3of4,HLA_A0207,0.48
2of6,HLA_A2608,0.48
1of6,HLA_B1502,0.48
2of3,HLA_A3101,0.48
3of3,HLA_A0201,0.48
2of4,HLA_C0403,0.48
2of4,HLA_C0401,0.48
2of3,HLA_B4001,0.48
2of3,HLA_B1805,0.48
3of5,HLA_B1502,0.48
1of6,HLA_B5701,0.48
2of2,HLA_B3905,0.48
2of4,HLA_B3503,0.48
3of4,HLA_B8101,0.48
3of5,HLA_B5801,0.48
4of6,HLA_A0207,0.48
2of4,HLA_A0205,0.48
1of2,HLA_A3601,0.48
4of5,HLA_B4002,0.48
3of5,HLA_B5701,0.48
2of4,HLA_C1402,0.48
3of5,HLA_C0403,0.48
3of3,HLA_B3905,0.48
2of6,HLA_A0205,0.48
1of1,HLA_A2402,0.48
3of5,HLA_C0401,0.48
2of3,HLA_B4801,0.48
1of5,HLA_C1204,0.48
1of6,HLA_B2709,0.48
1of2,HLA_C0403,0.48
2of3,HLA_C0701,0.48
1of4,HLA_B2705,0.48
2of2,HLA_C1601,0.48
6of6,HLA_B8101,0.48
3of5,HLA_A0201,0.48
4of4,HLA_B3924,0.48
1of5,HLA_B0702,0.48
1of4,HLA_A0204,0.48
1of2,HLA_A0301,0.48
5of5,HLA_B1513,0.48
4of4,HLA_C0202,0.48
1of1,HLA_B1517,0.48
3of6,HLA_A0207,0.48
1of3,HLA_B3924,0.48
6of6,HLA_C1502,0.48
1of1,HLA_C1701,0.48
2of5,HLA_C1204,0.48
1of4,HLA_B1503,0.48
4of4,HLA_B0801,0.48
4of4,HLA_B2704,0.48
2of2,HLA_A6801,0.48
5of5,HLA_B4403,0.48
3of6,HLA_B5001,0.48
1of1,HLA_B4701,0.48
1of2,HLA_A0206,0.48
5of5,HLA_B4405,0.48
1of2,HLA_A6901,0.48
3of5,HLA_B1805,0.48
5of5,HLA_C1402,0.48
1of1,HLA_B5701,0.48
4of4,HLA_B3905,0.48
1of2,HLA_B1513,0.48
1of6,HLA_C0403,0.48
4of4,HLA_A0201,0.48
1of5,HLA_C0602,0.48
1of5,HLA_B3905,0.48
2of3,HLA_B4032,0.47
3of6,HLA_B0702,0.47
1of6,HLA_B3802,0.47
2of3,HLA_B1801,0.47
1of6,HLA_C0303,0.47
2of4,HLA_B3802,0.47
1of3,HLA_A6802,0.47
3of6,HLA_A0201,0.47
1of6,HLA_B3507,0.47
2of4,HLA_C0704,0.47
2of6,HLA_B4402,0.47
3of6,HLA_B2705,0.47
5of5,HLA_A2601,0.47
5of5,HLA_C1202,0.47
3of5,HLA_A0204,0.47
1of6,HLA_A6801,0.47
5of5,HLA_B5101,0.47
1of1,HLA_B3924,0.47
1of1,HLA_B3801,0.47
2of3,HLA_C1402,0.47
3of6,HLA_C0602,0.47
1of6,HLA_A0201,0.47
1of1,HLA_B1510,0.47
1of1,HLA_B0801,0.47
2of2,HLA_A3001,0.47
2of2,HLA_A2402,0.47
2of3,HLA_C1602,0.47
3of3,HLA_A3601,0.47
3of5,HLA_B2709,0.47
3of5,HLA_A6901,0.47
3of3,HLA_C0202,0.47
4of4,HLA_C1204,0.47
2of6,HLA_B1501,0.47
1of6,HLA_B5301,0.47
2of3,HLA_B5802,0.47
2of2,HLA_B1513,0.47
2of2,HLA_C0202,0.47
1of5,HLA_C0202,0.47
6of6,HLA_A2501,0.47
1of5,HLA_A0204,0.47
2of2,HLA_B4403,0.47
1of2,HLA_B1518,0.47
2of3,HLA_B1301,0.47
6of6,HLA_A6801,0.47
6of6,HLA_B5201,0.47
1of4,HLA_C1601,0.47
1of4,HLA_B5001,0.47
6of6,HLA_C1602,0.47
1of2,HLA_A6801,0.47
2of2,HLA_B4601,0.47
5of5,HLA_A3002,0.47
5of5,HLA_B1503,0.47
3of4,HLA_C0303,0.47
2of6,HLA_A3201,0.47
1of3,HLA_B1503,0.47
4of5,HLA_B4701,0.47
2of4,HLA_A3001,0.47
3of5,HLA_C1402,0.47
3of5,HLA_A6802,0.47
2of4,HLA_C0801,0.47
2of3,HLA_A7401,0.47
2of2,HLA_B2705,0.47
3of5,HLA_C1502,0.47
3of3,HLA_A0203,0.47
2of4,HLA_B1518,0.46
3of6,HLA_B1511,0.46
2of3,HLA_B4405,0.46
1of5,HLA_A0201,0.46
3of3,HLA_B4601,0.46
3of6,HLA_B0801,0.46
6of6,HLA_B3901,0.46
5of5,HLA_B1501,0.46
6of6,HLA_B5703,0.46
2of4,HLA_B3507,0.46
1of6,HLA_B4002,0.46
3of6,HLA_B3901,0.46
2of3,HLA_B5101,0.46
4of6,HLA_B4002,0.46
4of4,HLA_A2402,0.46
1of1,HLA_B4901,0.46
1of4,HLA_B3906,0.46
1of6,HLA_A0204,0.46
1of6,HLA_B1805,0.46
2of4,HLA_B3901,0.46
1of6,HLA_C0401,0.46
3of4,HLA_C0102,0.46
6of6,HLA_B4701,0.46
1of1,HLA_A0211,0.46
1of6,HLA_A6802,0.46
3of3,HLA_C0401,0.46
1of1,HLA_B4402,0.46
2of4,HLA_C0303,0.46
2of4,HLA_A7401,0.46
3of3,HLA_C0403,0.46
3of3,HLA_A0204,0.46
4of4,HLA_B2709,0.46
3of6,HLA_B3507,0.46
1of6,HLA_B3503,0.46
6of6,HLA_B1801,0.46
2of3,HLA_C1202,0.46
4of4,HLA_A6801,0.46
3of3,HLA_C1402,0.46
2of2,HLA_B1501,0.46
1of5,HLA_C1402,0.46
1of5,HLA_C0801,0.46
1of5,HLA_B1503,0.46
6of6,HLA_A0204,0.46
1of5,HLA_B0801,0.46
1of6,HLA_A0301,0.46
1of1,HLA_C1403,0.46
2of4,HLA_A3002,0.46
1of1,HLA_B4403,0.46
2of4,HLA_B8101,0.46
2of4,HLA_B1503,0.46
1of3,HLA_B5301,0.46
2of3,HLA_B1518,0.46
2of6,HLA_A3002,0.46
1of3,HLA_A0204,0.46
2of6,HLA_B1301,0.46
1of2,HLA_C1701,0.46
2of6,HLA_B4001,0.46
1of3,HLA_B2704,0.46
3of5,HLA_A2402,0.46
3of5,HLA_A0203,0.46
1of3,HLA_A0207,0.46
1of3,HLA_C1601,0.46
3of6,HLA_B4006,0.46
3of5,HLA_B3802,0.46
2of2,HLA_B5301,0.46
1of2,HLA_A2402,0.46
3of5,HLA_C0303,0.46
3of5,HLA_A6801,0.46
3of5,HLA_B5301,0.46
1of2,HLA_A1101,0.46
1of2,HLA_B3901,0.46
2of3,HLA_B3906,0.46
2of5,HLA_C0303,0.46
1of3,HLA_B1402,0.46
1of3,HLA_B3901,0.46
1of2,HLA_B2704,0.46
1of3,HLA_B6701,0.46
1of2,HLA_C0401,0.46
2of4,HLA_C0701,0.46
1of3,HLA_C1502,0.46
1of1,HLA_C1602,0.46
1of5,HLA_A6801,0.45
3of6,HLA_B4701,0.45
5of5,HLA_B5001,0.45
6of6,HLA_B4002,0.45
1of5,HLA_B1517,0.45
3of6,HLA_B1501,0.45
1of2,HLA_A3001,0.45
4of4,HLA_B3508,0.45
4of4,HLA_A2501,0.45
1of4,HLA_B4403,0.45
1of5,HLA_B3901,0.45
1of4,HLA_B4402,0.45
3of4,HLA_B1501,0.45
2of3,HLA_B3901,0.45
1of3,HLA_C1403,0.45
2of3,HLA_A2301,0.45
1of2,HLA_A2608,0.45
1of5,HLA_B4901,0.45
6of6,HLA_B1511,0.45
2of6,HLA_A3601,0.45
6of6,HLA_C1402,0.45
1of4,HLA_B5701,0.45
1of3,HLA_B2709,0.45
1of1,HLA_B1801,0.45
2of3,HLA_B3924,0.45
1of1,HLA_B4405,0.45
2of2,HLA_B4402,0.45
4of4,HLA_B0704,0.45
2of6,HLA_B5401,0.45
3of4,HLA_C1402,0.45
2of5,HLA_C0302,0.45
1of5,HLA_C1601,0.45
2of3,HLA_B5801,0.45
1of1,HLA_A1101,0.45
3of5,HLA_B4405,0.45
4of4,HLA_A3401,0.45
4of6,HLA_A0252,0.45
1of6,HLA_C1402,0.45
1of2,HLA_C1601,0.45
2of4,HLA_C1602,0.45
3of6,HLA_B3503,0.45
5of5,HLA_A0202,0.45
1of3,HLA_C0602,0.45
3of5,HLA_C1601,0.45
3of6,HLA_C0303,0.45
2of6,HLA_A0202,0.45
1of6,HLA_C1601,0.45
3of5,HLA_B3507,0.45
3of6,HLA_B1801,0.45
2of6,HLA_B4403,0.45
3of5,HLA_A2608,0.45
2of2,HLA_A0206,0.45
2of4,HLA_A2601,0.45
1of3,HLA_B1513,0.45
1of1,HLA_B5703,0.45
3of5,HLA_B3503,0.45
1of6,HLA_C0801,0.45
3of3,HLA_B1518,0.45
2of3,HLA_A3002,0.45
3of3,HLA_B1513,0.45
3of4,HLA_A0203,0.45
2of2,HLA_B4032,0.45
1of3,HLA_C0801,0.45
2of4,HLA_A0211,0.45
2of6,HLA_C1402,0.45
1of3,HLA_B5201,0.45
1of1,HLA_A2501,0.45
1of3,HLA_C0102,0.45
1of6,HLA_A6901,0.45
5of5,HLA_B4001,0.45
4of6,HLA_A0205,0.45
2of2,HLA_B1803,0.44
3of5,HLA_B1503,0.44
1of2,HLA_B4405,0.44
2of4,HLA_A3201,0.44
2of6,HLA_B1503,0.44
1of5,HLA_B2709,0.44
1of2,HLA_B3801,0.44
3of5,HLA_B5101,0.44
3of4,HLA_A0204,0.44
1of2,HLA_B0702,0.44
2of6,HLA_B5502,0.44
2of4,HLA_A3101,0.44
2of4,HLA_A1101,0.44
2of4,HLA_B5101,0.44
1of2,HLA_B4001,0.44
4of4,HLA_B1805,0.44
1of5,HLA_A3401,0.44
1of5,HLA_B6701,0.44
3of3,HLA_A6802,0.44
4of4,HLA_C1403,0.44
3of3,HLA_B4002,0.44
5of5,HLA_C1403,0.44
2of6,HLA_B4201,0.44
4of6,HLA_B4405,0.44
2of3,HLA_C1403,0.44
1of6,HLA_A2608,0.44
1of6,HLA_B1517,0.44
4of6,HLA_B4701,0.44
1of3,HLA_B3508,0.44
